TX ID,Voter CNIC,Candidate Name,Candidate Party,Election Type,Face Verified,Timestamp,,,
0x18f5a3b2c9d41234ab,12345-****-1,Muhammad Bilal,PTI,national,Yes,6/1/2026 8:15,,,
0x28f6b3c4d5e67890cd,12345-****-2,Ahmed Nawaz Khan,PPP,national,Yes,6/1/2026 8:22,,,
0x38a7c4d5e6f78901ef,12345-****-3,Tariq Mehmood,PTI,provincial,Yes,6/1/2026 9:00,,,
0x48b8d5e6f7890123gh,12345-****-4,Fatima Ali Zaidi,PML-N,national,Yes,6/1/2026 9:30,,,
0x58c9e6f789012345ij,12345-****-5,Dr. Farooq Sattar,MQM,senate,Yes,6/2/2026 10:00,,,
0x68d0f78901234567kl,12345-****-6,Raja Muhammad Ali,PPP,provincial,Yes,6/2/2026 10:30,,,
0x68d0f78901234567kl,12345-****-3,Tariq Mehmood,PTI,provincial,Yes,6/2/2026,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
